step 0: train loss 10.9987, val loss 10.9994
iter 2230: loss 6.4688, time 181.34ms, ETA: 1d 9h, progress: 0.4%
iter 2240: loss 6.6875, time 177.11ms, ETA: 1d 9h, progress: 0.4%
iter 2250: loss 6.4062, time 181.78ms, ETA: 1d 9h, progress: 0.4%
iter 2260: loss 6.5938, time 182.68ms, ETA: 1d 9h, progress: 0.4%
iter 2270: loss 6.6250, time 184.59ms, ETA: 1d 9h, progress: 0.4%
iter 2280: loss 6.6250, time 180.83ms, ETA: 1d 9h, progress: 0.4%
iter 2290: loss 6.2812, time 180.45ms, ETA: 1d 9h, progress: 0.4%
iter 2300: loss 6.4375, time 184.56ms, ETA: 1d 9h, progress: 0.4%
iter 2310: loss 6.5625, time 182.14ms, ETA: 1d 9h, progress: 0.4%
iter 2320: loss 6.5938, time 178.96ms, ETA: 1d 9h, progress: 0.4%
iter 2330: loss 6.5625, time 180.78ms, ETA: 1d 9h, progress: 0.4%
iter 2340: loss 6.5000, time 185.15ms, ETA: 1d 9h, progress: 0.4%
iter 2350: loss 6.3438, time 182.18ms, ETA: 1d 9h, progress: 0.4%
iter 2360: loss 6.6562, time 178.74ms, ETA: 1d 9h, progress: 0.4%
iter 2370: loss 6.3125, time 182.81ms, ETA: 1d 9h, progress: 0.4%
iter 2380: loss 6.4688, time 181.24ms, ETA: 1d 9h, progress: 0.4%
iter 2390: loss 6.4375, time 186.36ms, ETA: 1d 9h, progress: 0.4%
[2025-08-27 20:23:43,177] [INFO] [logging.py:107:log_dist] [Rank 0] step=60, skipped=0, lr=[0.0005999994068332777], mom=[[0.9, 0.95]]
[2025-08-27 20:23:43,189] [INFO] [timer.py:264:stop] epoch=0/micro_step=2400/global_step=60, RunningAvgSamplesPerSec=636.523282522924, CurrSamplesPerSec=625.5806408848318, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 2400: loss 6.3125, time 178.65ms, ETA: 1d 9h, progress: 0.4%
iter 2410: loss 6.8438, time 186.92ms, ETA: 1d 9h, progress: 0.4%
iter 2420: loss 6.4062, time 181.85ms, ETA: 1d 9h, progress: 0.4%
iter 2430: loss 6.4688, time 186.17ms, ETA: 1d 9h, progress: 0.4%
iter 2440: loss 6.3438, time 179.09ms, ETA: 1d 9h, progress: 0.4%
iter 2450: loss 6.4062, time 187.17ms, ETA: 1d 9h, progress: 0.4%
iter 2460: loss 6.3438, time 184.47ms, ETA: 1d 9h, progress: 0.4%
iter 2470: loss 6.4375, time 181.28ms, ETA: 1d 9h, progress: 0.4%
iter 2480: loss 6.3750, time 178.10ms, ETA: 1d 9h, progress: 0.4%
iter 2490: loss 6.6562, time 181.60ms, ETA: 1d 9h, progress: 0.4%
iter 2500: loss 6.4062, time 186.27ms, ETA: 1d 9h, progress: 0.4%
iter 2510: loss 6.5312, time 185.98ms, ETA: 1d 9h, progress: 0.4%
iter 2520: loss 6.4688, time 179.34ms, ETA: 1d 9h, progress: 0.4%
iter 2530: loss 6.3438, time 187.87ms, ETA: 1d 9h, progress: 0.4%
iter 2540: loss 6.4688, time 186.97ms, ETA: 1d 9h, progress: 0.4%
iter 2550: loss 6.4062, time 184.19ms, ETA: 1d 9h, progress: 0.4%
iter 2560: loss 6.4375, time 182.09ms, ETA: 1d 9h, progress: 0.4%
iter 2570: loss 6.3750, time 183.16ms, ETA: 1d 9h, progress: 0.4%
iter 2580: loss 6.7812, time 181.31ms, ETA: 1d 9h, progress: 0.4%
iter 2590: loss 6.2188, time 182.68ms, ETA: 1d 9h, progress: 0.4%
iter 2600: loss 6.1562, time 182.11ms, ETA: 1d 9h, progress: 0.4%
iter 2610: loss 6.3438, time 184.31ms, ETA: 1d 9h, progress: 0.4%
iter 2620: loss 5.9688, time 182.43ms, ETA: 1d 9h, progress: 0.4%
iter 2630: loss 6.4688, time 183.22ms, ETA: 1d 9h, progress: 0.4%
iter 2640: loss 6.2188, time 181.52ms, ETA: 1d 9h, progress: 0.4%
iter 2650: loss 6.3125, time 187.01ms, ETA: 1d 9h, progress: 0.4%
iter 2660: loss 6.2500, time 183.41ms, ETA: 1d 8h, progress: 0.4%
iter 2670: loss 6.3438, time 181.71ms, ETA: 1d 8h, progress: 0.4%
iter 2680: loss 6.2500, time 180.31ms, ETA: 1d 8h, progress: 0.4%
iter 2690: loss 6.0312, time 187.10ms, ETA: 1d 8h, progress: 0.4%
iter 2700: loss 6.5000, time 187.44ms, ETA: 1d 8h, progress: 0.4%
iter 2710: loss 6.2812, time 183.87ms, ETA: 1d 8h, progress: 0.5%
iter 2720: loss 6.2812, time 180.33ms, ETA: 1d 8h, progress: 0.5%
iter 2730: loss 6.4688, time 181.96ms, ETA: 1d 8h, progress: 0.5%
iter 2740: loss 6.4375, time 183.16ms, ETA: 1d 8h, progress: 0.5%
iter 2750: loss 6.3438, time 184.14ms, ETA: 1d 8h, progress: 0.5%
iter 2760: loss 6.3125, time 180.06ms, ETA: 1d 8h, progress: 0.5%
iter 2770: loss 6.4688, time 183.02ms, ETA: 1d 8h, progress: 0.5%
iter 2780: loss 6.2500, time 182.91ms, ETA: 1d 8h, progress: 0.5%
iter 2790: loss 6.5312, time 181.68ms, ETA: 1d 8h, progress: 0.5%
[2025-08-27 20:24:56,812] [INFO] [logging.py:107:log_dist] [Rank 0] step=70, skipped=0, lr=[0.0005999976213854734], mom=[[0.9, 0.95]]
[2025-08-27 20:24:56,824] [INFO] [timer.py:264:stop] epoch=0/micro_step=2800/global_step=70, RunningAvgSamplesPerSec=634.3801064747369, CurrSamplesPerSec=621.069196893374, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 2800: loss 6.4062, time 179.64ms, ETA: 1d 8h, progress: 0.5%
iter 2810: loss 6.1562, time 183.45ms, ETA: 1d 8h, progress: 0.5%
iter 2820: loss 6.2812, time 183.48ms, ETA: 1d 8h, progress: 0.5%
iter 2830: loss 6.1250, time 181.49ms, ETA: 1d 8h, progress: 0.5%
iter 2840: loss 6.1250, time 180.90ms, ETA: 1d 8h, progress: 0.5%
iter 2850: loss 6.4062, time 186.65ms, ETA: 1d 8h, progress: 0.5%
iter 2860: loss 6.3438, time 185.67ms, ETA: 1d 8h, progress: 0.5%
iter 2870: loss 6.1875, time 186.15ms, ETA: 1d 8h, progress: 0.5%
iter 2880: loss 6.2500, time 183.46ms, ETA: 1d 8h, progress: 0.5%
iter 2890: loss 6.1562, time 185.87ms, ETA: 1d 8h, progress: 0.5%
iter 2900: loss 6.4062, time 185.70ms, ETA: 1d 8h, progress: 0.5%
iter 2910: loss 6.1562, time 183.77ms, ETA: 1d 8h, progress: 0.5%
iter 2920: loss 6.0000, time 180.58ms, ETA: 1d 8h, progress: 0.5%
iter 2930: loss 6.3438, time 182.74ms, ETA: 1d 8h, progress: 0.5%
iter 2940: loss 6.3750, time 184.11ms, ETA: 1d 8h, progress: 0.5%
iter 2950: loss 6.4062, time 184.81ms, ETA: 1d 8h, progress: 0.5%
